(havtob) a2019403475@nasp-cpu-02:~$ cat VGG19_PS_output_256bsz_3.txt 
Rank: 3, epoch: 0, batch_idx: 167, train-time: 6.633303642272949, com-time: 9.214709281921387, loss 2.293034791946411, prec: 23.52941131591797, 
Rank: 3, epoch: 0, batch_idx: 168, train-time: 6.629426717758179, com-time: 9.253007888793945, loss 2.3500373363494873, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 169, train-time: 6.635090112686157, com-time: 9.268014192581177, loss 2.3144521713256836, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 170, train-time: 6.641968250274658, com-time: 9.257164001464844, loss 2.291231870651245, prec: 21.568628311157227, 
Rank: 3, epoch: 0, batch_idx: 171, train-time: 6.6426615715026855, com-time: 9.253202199935913, loss 2.321787118911743, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 172, train-time: 6.6287102699279785, com-time: 9.223612070083618, loss 2.398979902267456, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 173, train-time: 6.634459495544434, com-time: 9.22207498550415, loss 2.339884042739868, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 174, train-time: 6.621403455734253, com-time: 9.240880250930786, loss 2.3486640453338623, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 175, train-time: 6.638991832733154, com-time: 9.245092868804932, loss 2.308835983276367, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 176, train-time: 6.634006023406982, com-time: 9.226418256759644, loss 2.314828634262085, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 177, train-time: 6.640686750411987, com-time: 9.225642681121826, loss 2.3510186672210693, prec: 3.9215686321258545, 
Rank: 3, epoch: 0, batch_idx: 178, train-time: 6.622792959213257, com-time: 9.232250452041626, loss 2.2809829711914062, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 179, train-time: 6.635143280029297, com-time: 9.265412092208862, loss 2.318558692932129, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 180, train-time: 6.629388809204102, com-time: 9.26744818687439, loss 2.3866965770721436, prec: 1.9607843160629272, 
Rank: 3, epoch: 0, batch_idx: 181, train-time: 6.648133993148804, com-time: 9.22180461883545, loss 2.3925368785858154, prec: 3.9215686321258545, 
Rank: 3, epoch: 0, batch_idx: 182, train-time: 6.636054992675781, com-time: 9.237139701843262, loss 2.3426880836486816, prec: 3.9215686321258545, 
